[09:56:26] === Baue Rust-Modul (maturin build --release) ===
🔗 Found pyo3 bindings
🐍 Found CPython 3.12 at /usr/bin/python3
    Finished `release` profile [optimized] target(s) in 0.03s
📦 Built wheel for CPython 3.12 to /home/sefo/devel/spinoza/target/wheels/spinoza-0.1.0-cp312-cp312-manylinux_2_34_x86_64.whl
Defaulting to user installation because normal site-packages is not writeable
Processing ./target/wheels/spinoza-0.1.0-cp312-cp312-manylinux_2_34_x86_64.whl
Installing collected packages: spinoza
  Attempting uninstall: spinoza
    Found existing installation: spinoza 0.1.0
    Uninstalling spinoza-0.1.0:
      Successfully uninstalled spinoza-0.1.0
Successfully installed spinoza-0.1.0
spinoza OK
[09:56:28] 
[09:56:28] === Stage 1: Kein Spin | 10M Steps | lr=3e-4 | ent=0.01 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=1
  total_timesteps=10000000
  policy=MLP [512, 512]

  model params: 622,607

  step= 2240704 | eps/s=  4075 | success=  0.5% | miss= 85.7% | elapsed=549.9s
  step= 2250752 | eps/s=  4069 | success=  0.6% | miss= 85.8% | elapsed=553.2s
  step= 2260800 | eps/s=  4081 | success=  0.6% | miss= 85.2% | elapsed=554.0s
  step= 2270848 | eps/s=  4075 | success=  0.5% | miss= 85.4% | elapsed=557.2s
  step= 2280896 | eps/s=  4070 | success=  0.6% | miss= 84.8% | elapsed=560.5s
  step= 2290944 | eps/s=  4081 | success=  0.6% | miss= 85.5% | elapsed=561.3s
  step= 2300992 | eps/s=  4075 | success=  0.6% | miss= 85.4% | elapsed=564.6s
  step= 2311040 | eps/s=  4067 | success=  0.6% | miss= 85.2% | elapsed=568.2s
  step= 2321088 | eps/s=  4079 | success=  0.7% | miss= 85.2% | elapsed=569.1s
  step= 2331136 | eps/s=  4073 | success=  0.7% | miss= 85.1% | elapsed=572.3s
  step= 2341184 | eps/s=  4084 | success=  0.7% | miss= 84.9% | elapsed=573.2s
  step= 2351232 | eps/s=  4080 | success=  0.8% | miss= 85.0% | elapsed=576.3s
  step= 2361280 | eps/s=  4074 | success=  0.7% | miss= 84.1% | elapsed=579.6s
  step= 2371328 | eps/s=  4085 | success=  0.8% | miss= 84.1% | elapsed=580.5s
  step= 2381376 | eps/s=  4083 | success=  0.7% | miss= 84.6% | elapsed=583.2s
  step= 2391424 | eps/s=  4094 | success=  0.8% | miss= 84.9% | elapsed=584.1s
  step= 2401472 | eps/s=  4087 | success=  0.8% | miss= 85.1% | elapsed=587.6s
  step= 2411520 | eps/s=  4081 | success=  0.7% | miss= 84.9% | elapsed=590.9s
  step= 2421568 | eps/s=  4092 | success=  0.7% | miss= 84.2% | elapsed=591.8s
  step= 2431616 | eps/s=  4085 | success=  0.7% | miss= 84.5% | elapsed=595.2s
  step= 2441664 | eps/s=  4080 | success=  0.8% | miss= 84.3% | elapsed=598.5s
  step= 2451712 | eps/s=  4091 | success=  0.9% | miss= 83.6% | elapsed=599.4s
